Symbol,Name,Exchange,Round.Lot.Size,Market.Category,Financial.Status,Sector,Subsector
AAPL,Apple Inc. - Common Stock,NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Information Technology,Computer Hardware
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Information Technology,Internet Software & Services
ADSK,"Autodesk, Inc. - Common Stock",NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Information Technology,Application Software
AEP,"American Electric Power Company, Inc. - Common Stock",NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Utilities,Electric Utilities
AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Information Technology,Semiconductor Equipment
AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),NA,NA
AMGN,Amgen Inc. - Common Stock,NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Health Care,Biotechnology
BBI,"Brickell Biotech, Inc. - Common Stock",NASDAQ,100,NASDAQ Capital Market,Normal (Default),NA,NA
CAR,"Avis Budget Group, Inc. - Common Stock",NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),NA,NA
CMCSA,Comcast Corporation - Class A Common Stock,NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Consumer Discretionary,Broadcasting & Cable TV
COST,Costco Wholesale Corporation - Common Stock,NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Consumer Staples,Hypermarkets & Super Centers
CSCO,"Cisco Systems, Inc. - Common Stock",NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Information Technology,Networking Equipment
CSX,CSX Corporation - Common Stock,NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Industrials,Railroads
EXC,Exelon Corporation - Common Stock,NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Utilities,MultiUtilities
GT,The Goodyear Tire & Rubber Company - Common Stock,NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Consumer Discretionary,Tires & Rubber
HAS,"Hasbro, Inc. - Common Stock",NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Consumer Discretionary,Leisure Products
HON,Honeywell International Inc. - Common Stock,NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Industrials,Industrial Conglomerates
INTC,Intel Corporation - Common Stock,NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Information Technology,Semiconductors
MAT,"Mattel, Inc. - Common Stock",NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Consumer Discretionary,Leisure Products
MSFT,Microsoft Corporation - Common Stock,NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Information Technology,Systems Software
MU,"Micron Technology, Inc. - Common Stock",NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Information Technology,Semiconductors
NWL,Newell Brands Inc. - Common Stock,NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Consumer Discretionary,Housewares & Specialties
PCAR,PACCAR Inc. - Common Stock,NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Industrials,Construction & Farm Machinery & Heavy Trucks
PCH,PotlatchDeltic Corporation - Common Stock,NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),NA,NA
PEP,"PepsiCo, Inc. - Common Stock",NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Consumer Staples,Soft Drinks
TXN,Texas Instruments Incorporated - Common Stock,NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Information Technology,Semiconductors
WBA,"Walgreens Boots Alliance, Inc. - Common Stock",NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Consumer Staples,Drug Retail
WEN,Wendy's Company (The) - Common Stock,NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),NA,NA
XEL,Xcel Energy Inc. - Common Stock,NASDAQ,100,NASDAQ Global Select MarketSM,Normal (Default),Utilities,MultiUtilities
ABT,Abbott Laboratories Common Stock,NYSE,100,NA,NA,Health Care,Health Care Equipment & Services
ADM,Archer-Daniels-Midland Company Common Stock,NYSE,100,NA,NA,Consumer Staples,Agricultural Products
AEE,Ameren Corporation Common Stock,NYSE,100,NA,NA,Utilities,MultiUtilities
AIG,"American International Group, Inc. New Common Stock",NYSE,100,NA,NA,Financials,Property & Casualty Insurance
AIT,"Applied Industrial Technologies, Inc. Common Stock",NYSE,100,NA,NA,NA,NA
ALL,Allstate Corporation (The) Common Stock,NYSE,100,NA,NA,Financials,Property & Casualty Insurance
AN,"AutoNation, Inc. Common Stock",NYSE,100,NA,NA,Consumer Discretionary,Specialty Stores
APD,"Air Products and Chemicals, Inc. Common Stock",NYSE,100,NA,NA,Materials,Industrial Gases
ASH,Ashland Global Holdings Inc. Common Stock,NYSE,100,NA,NA,NA,NA
AVY,Avery Dennison Corporation Common Stock,NYSE,100,NA,NA,Materials,Paper Packaging
AXP,American Express Company Common Stock,NYSE,100,NA,NA,Financials,Consumer Finance
BA,Boeing Company (The) Common Stock,NYSE,100,NA,NA,Industrials,Aerospace & Defense
BAC,Bank of America Corporation Common Stock,NYSE,100,NA,NA,Financials,Banks
BAX,Baxter International Inc. Common Stock,NYSE,100,NA,NA,Health Care,Health Care Equipment & Services
BC,Brunswick Corporation Common Stock,NYSE,100,NA,NA,NA,NA
BCO,Brinks Company (The) Common Stock,NYSE,100,NA,NA,NA,NA
BDX,"Becton, Dickinson and Company Common Stock",NYSE,100,NA,NA,Health Care,Health Care Equipment & Services
BK,The Bank of New York Mellon Corporation Common Stock,NYSE,100,NA,NA,Financials,Banks
BLL,Ball Corporation Common Stock,NYSE,100,NA,NA,Materials,Metal & Glass Containers
BMY,Bristol-Myers Squibb Company Common Stock,NYSE,100,NA,NA,Health Care,Health Care Distributors & Services
BSX,Boston Scientific Corporation Common Stock,NYSE,100,NA,NA,Health Care,Health Care Equipment & Services
C,"Citigroup, Inc. Common Stock",NYSE,100,NA,NA,Financials,Banks
CAG,"ConAgra Brands, Inc. Common Stock",NYSE,100,NA,NA,Consumer Staples,Packaged Foods & Meats
CAL,"Caleres, Inc. Common Stock",NYSE,100,NA,NA,NA,NA
CAT,"Caterpillar, Inc. Common Stock",NYSE,100,NA,NA,Industrials,Construction & Farm Machinery & Heavy Trucks
CB,Chubb Limited  Common Stock,NYSE,100,NA,NA,Financials,Property & Casualty Insurance
CBB,Cincinnati Bell Inc. Common Stock,NYSE,100,NA,NA,NA,NA
CCI,Crown Castle International Corp. (REIT) Common Stock,NYSE,100,NA,NA,Financials,REITs
CCK,"Crown Holdings, Inc.",NYSE,100,NA,NA,NA,NA
CI,Cigna Corporation Common Stock,NYSE,100,NA,NA,Health Care,Managed Health Care
CL,Colgate-Palmolive Company Common Stock,NYSE,100,NA,NA,Consumer Staples,Household Products
CLX,Clorox Company (The) Common Stock,NYSE,100,NA,NA,Consumer Staples,Household Products
CMA,Comerica Incorporated Common Stock,NYSE,100,NA,NA,Financials,Banks
CMI,Cummins Inc. Common Stock,NYSE,100,NA,NA,Industrials,Industrial Machinery
CNP,"CenterPoint Energy, Inc (Holding Co) Common Stock",NYSE,100,NA,NA,Utilities,MultiUtilities
COP,ConocoPhillips Common Stock,NYSE,100,NA,NA,Energy,Oil & Gas Exploration & Production
CPB,Campbell Soup Company Common Stock,NYSE,100,NA,NA,Consumer Staples,Packaged Foods & Meats
CR,Crane Co. Common Stock,NYSE,100,NA,NA,NA,NA
CSR,D/B/A Centerspace Common Stock,NYSE,100,NA,NA,NA,NA
CTB,Cooper Tire & Rubber Company Common Stock,NYSE,100,NA,NA,NA,NA
CVS,CVS Health Corporation Common Stock,NYSE,100,NA,NA,Consumer Staples,Drug Retail
CVX,Chevron Corporation Common Stock,NYSE,100,NA,NA,Energy,Integrated Oil & Gas
D,"Dominion Energy, Inc. Common Stock",NYSE,100,NA,NA,Utilities,Electric Utilities
DD,"DuPont de Nemours, Inc. Common Stock",NYSE,100,NA,NA,Materials,Diversified Chemicals
